                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91762,                0.89922,                 1.0683,                0.69762,                 0.7355,                0.76978,                0.56038,                 1.0006,                0.92248,                 1.0939,                0.00066,                0.00066,                0.00066
                      2,                0.94536,                0.89573,                 1.0846,                0.63539,                 0.7228,                 0.7291,                0.53058,                 1.0275,                 1.0808,                 1.1446,               0.001261,               0.001261,               0.001261
                      3,                0.99044,                0.94266,                 1.1158,                0.67036,                 0.6116,                0.65706,                0.45872,                 1.0713,                 1.2853,                 1.2073,               0.001796,               0.001796,               0.001796
                      4,                 0.9969,                0.98156,                 1.1156,                0.68728,                0.73312,                0.74126,                0.52934,                 1.0526,                 1.0257,                  1.178,               0.001703,               0.001703,               0.001703
                      5,                0.98702,                0.94188,                  1.114,                0.67103,                0.72597,                   0.74,                0.52808,                 1.0568,                 1.1044,                 1.1647,               0.001604,               0.001604,               0.001604
                      6,                0.97967,                0.93197,                 1.1122,                0.68126,                 0.6799,                0.73068,                0.52399,                 1.0256,                 1.0993,                 1.1516,               0.001505,               0.001505,               0.001505
                      7,                0.96485,                0.89824,                 1.1041,                 0.6977,                0.71565,                 0.7547,                0.55749,                 1.0294,                 1.0069,                 1.1194,               0.001406,               0.001406,               0.001406
                      8,                0.96144,                0.89737,                 1.0977,                 0.6859,                0.76172,                0.75859,                0.55267,                 1.0462,                 0.9669,                 1.1378,               0.001307,               0.001307,               0.001307
                      9,                0.92631,                0.86851,                 1.0756,                0.69587,                 0.7228,                0.75912,                0.55522,                  1.001,                 1.0742,                 1.0861,               0.001208,               0.001208,               0.001208
                     10,                0.94304,                0.85921,                 1.0865,                0.67233,                 0.7641,                0.77288,                0.57582,                0.97134,                0.92302,                  1.082,               0.001109,               0.001109,               0.001109
                     11,                 0.9416,                0.88178,                 1.0751,                0.69484,                0.71009,                0.75682,                0.56386,                0.99585,                0.97745,                 1.1158,                0.00101,                0.00101,                0.00101
                     12,                0.94131,                0.83565,                 1.0796,                0.72768,                0.71565,                0.77011,                 0.5672,                0.99509,                0.93279,                 1.1028,               0.000911,               0.000911,               0.000911
                     13,                0.92431,                0.80624,                 1.0492,                0.69869,                0.71882,                0.77257,                0.56855,                0.98419,                 0.9578,                 1.1069,               0.000812,               0.000812,               0.000812
                     14,                0.91476,                0.79273,                 1.0469,                0.70275,                0.73789,                0.78331,                0.58327,                 1.0017,                0.89437,                 1.1119,               0.000713,               0.000713,               0.000713
                     15,                0.89025,                0.75828,                 1.0307,                0.72672,                0.73312,                0.78733,                0.58475,                0.99253,                0.88656,                 1.1025,               0.000614,               0.000614,               0.000614
                     16,                0.87354,                 0.7466,                 1.0236,                0.73638,                0.70691,                0.79529,                0.58998,                0.98673,                0.88663,                 1.1029,               0.000515,               0.000515,               0.000515
                     17,                0.86532,                0.72591,                  1.013,                0.74057,                0.72041,                0.79563,                0.59085,                0.97989,                0.88318,                 1.1054,               0.000416,               0.000416,               0.000416
                     18,                0.86002,                0.69694,                 1.0113,                0.71338,                0.75854,                0.79984,                0.60637,                0.95216,                0.84928,                  1.073,               0.000317,               0.000317,               0.000317
                     19,                0.84095,                0.68137,                 0.9956,                0.70612,                 0.7672,                0.80485,                0.61034,                0.93624,                0.83957,                 1.0634,               0.000218,               0.000218,               0.000218
                     20,                0.82799,                0.66111,                0.98832,                0.69353,                0.78872,                0.80445,                0.61218,                0.93926,                0.83194,                 1.0696,               0.000119,               0.000119,               0.000119
